filename,GT_DRI,EST_DRI
 SPR  16  -  E16.jpg ,23.5,14.625
 SPR  16  -  E17.jpg ,12.25,6.75
 SPR  16  -  E18.jpg ,5.5,7.75
 SPR  16  -  F1.jpg ,8.5,15.375
 SPR  16  -  F2.jpg ,4.5,17.25
 SPR  16  -  F3.jpg ,5.25,6.125
 SPR  16  -  F4.jpg ,16.75,5.0
 SPR  16  -  F5.jpg ,12.25,7.75
 SPR  16  -  F6.jpg ,2.0,4.5
 SPR  16  -  F7.jpg ,17.0,21.5
 SPR  16  -  F8.jpg ,12.25,3.875
 SPR  16  -  F9.jpg ,11.0,9.75
 SPR  16  -  F11.jpg ,10.75,6.75
 SPR  16  -  F12.jpg ,22.0,14.875
 SPR  16  -  F13.jpg ,2.25,30.5
 SPR  16  -  F14.jpg ,6.75,10.75
 SPR  16  -  F15.jpg ,8.5,10.875
 SPR  16  -  F16.jpg ,10.5,8.125
 SPR  16  -  F17.jpg ,14.25,10.125
 SPR  16  -  F18.jpg ,17.5,5.25
 SPR  16  -  G1.png ,14.75,26.25
 SPR  16  -  G2.png ,2.5,30.375
 SPR  16  -  G3.png ,9.5,19.875
 SPR  16  -  G4.png ,17.75,38.75
 SPR  16  -  G5.png ,25.5,14.125
 SPR  16  -  G6.png ,12.75,6.125
 SPR  16  -  G7.png ,8.5,4.125
 SPR  16  -  G8.png ,18.75,4.125
 SPR  16  -  G9.png ,18.75,10.5
 SPR  16  -  G10.png ,4.0,9.625
 SPR  16  -  G11.png ,0.25,38.0
 SPR  16  -  G12.png ,15.75,6.0
 SPR  16  -  G13.png ,11.25,69.5
 SPR  16  -  G14.png ,10.0,9.5
 SPR  16  -  G15.png ,9.75,9.125
 SPR  16  -  G16.png ,7.5,22.75
 SPR  16  -  G17.png ,8.0,15.0
 SPR  16  -  G18.png ,2.75,48.125
 SPR  16  -  H1.png ,1.0,11.0
 SPR  16  -  H2.png ,9.0,6.625
 SPR  16  -  H3.png ,18.5,12.5
 SPR  16  -  H4.png ,13.0,11.25
 SPR  16  -  H5.png ,5.0,9.75
 SPR  16  -  H6.png ,0.75,7.875
 SPR  16  -  H7.png ,18.5,13.25
 SPR  16  -  H8.png ,11.25,13.125
 SPR  16  -  H9.png ,5.25,2.0
 SPR  16  -  H10.png ,2.0,9.125
 SPR  16  -  H11.png ,3.0,3.75
 SPR  16  -  H12.png ,9.25,7.5
 SPR  16  -  H13.png ,19.0,4.625
 SPR  16  -  H14.png ,10.5,10.625
 SPR  16  -  H15.png ,41.75,20.125
 SPR  16  -  H16.png ,10.75,10.75
 SPR  16  -  H17.png ,0.5,5.5
 SPR  16  -  H18.png ,16.0,14.5
