filename,EST_CCA,EST_CCP,EST_OCA+OCAG,EST_DRI,GT_DRI
 SPR  16  -  E7.jpg ,5.0,1.5,0.0,5.75,0.25
 SPR  16  -  E8.jpg ,3.5,0.0,4.0,8.875,1.0
 SPR  16  -  E9.jpg ,3.0,1.5,8.0,21.25,20.0
 SPR  16  -  E10.jpg ,7.5,0.0,2.0,5.875,9.0
 SPR  16  -  E11.jpg ,0.0,5.5,5.0,26.5,34.75
 SPR  16  -  E13.jpg ,2.5,0.0,3.5,7.625,12.75
 SPR  16  -  E14.jpg ,4.5,1.0,3.5,11.125,42.5
 SPR  16  -  E15.jpg ,6.5,0.5,2.5,8.125,8.5
 SPR  16  -  E16.jpg ,3.0,0.0,1.5,3.75,23.5
 SPR  16  -  E17.jpg ,9.5,1.0,0.5,6.375,12.25
 SPR  16  -  E18.jpg ,4.0,3.0,2.5,15.0,5.5
 SPR  16  -  F1.jpg ,1.0,1.5,6.5,17.75,8.5
 SPR  16  -  F2.jpg ,1.0,5.5,5.0,26.75,4.5
 SPR  16  -  F3.jpg ,6.0,0.0,2.0,5.5,5.25
 SPR  16  -  F4.jpg ,2.5,0.5,3.0,8.125,16.75
 SPR  16  -  F5.jpg ,5.5,3.5,0.0,11.875,12.25
 SPR  16  -  F6.jpg ,5.0,5.5,1.5,20.75,2.0
 SPR  16  -  F7.jpg ,3.5,3.0,0.0,9.875,17.0
 SPR  16  -  F8.jpg ,0.5,2.5,2.5,12.625,12.25
 SPR  16  -  F9.jpg ,0.0,0.5,4.0,9.5,11.0
 SPR  16  -  F11.jpg ,0.5,1.0,3.0,9.125,10.75
 SPR  16  -  F12.jpg ,1.5,0.0,5.5,11.375,22.0
 SPR  16  -  F13.jpg ,1.0,9.0,2.0,31.25,2.25
 SPR  16  -  F14.jpg ,2.5,1.5,8.0,21.125,6.75
 SPR  16  -  F15.jpg ,2.0,4.0,3.0,18.5,8.5
 SPR  16  -  F16.jpg ,7.0,1.0,4.5,13.75,10.5
 SPR  16  -  F17.jpg ,5.0,2.0,3.5,14.25,14.25
 SPR  16  -  F18.jpg ,1.5,1.0,5.5,14.375,17.5
 SPR  16  -  G1.png ,2.0,10.5,1.0,34.0,14.75
 SPR  16  -  G2.png ,3.5,4.0,0.0,12.875,2.5
 SPR  16  -  G3.png ,2.5,7.5,0.0,23.125,9.5
 SPR  16  -  G4.png ,1.0,6.0,0.0,18.25,17.75
 SPR  16  -  G5.png ,5.0,0.0,9.5,20.25,25.5
 SPR  16  -  G6.png ,4.0,0.0,2.5,6.0,12.75
 SPR  16  -  G7.png ,2.0,0.0,4.5,9.5,8.5
 SPR  16  -  G8.png ,4.5,0.0,3.0,7.125,18.75
 SPR  16  -  G9.png ,6.5,0.0,7.5,16.625,18.75
 SPR  16  -  G10.png ,3.0,4.5,0.5,15.25,4.0
 SPR  16  -  G11.png ,5.0,2.5,0.0,8.75,0.25
 SPR  16  -  G12.png ,2.0,2.0,5.0,16.5,15.75
 SPR  16  -  G13.png ,3.0,0.0,2.5,5.75,11.25
 SPR  16  -  G14.png ,3.5,1.0,4.5,12.875,10.0
 SPR  16  -  G15.png ,1.5,0.0,1.0,2.375,9.75
 SPR  16  -  G16.png ,3.5,1.5,4.0,13.375,7.5
 SPR  16  -  G17.png ,1.0,4.5,1.0,15.75,8.0
 SPR  16  -  G18.png ,1.5,3.0,2.5,14.375,2.75
 SPR  16  -  H1.png ,4.5,1.0,2.0,8.125,1.0
 SPR  16  -  H2.png ,5.0,0.0,3.0,7.25,9.0
 SPR  16  -  H3.png ,6.0,1.0,3.5,11.5,18.5
 SPR  16  -  H4.png ,3.0,5.0,4.0,23.75,13.0
 SPR  16  -  H5.png ,3.5,1.0,2.0,7.875,5.0
 SPR  16  -  H6.png ,3.0,1.5,3.0,11.25,0.75
 SPR  16  -  H7.png ,4.5,3.5,1.0,13.625,18.5
 SPR  16  -  H8.png ,4.0,1.5,3.5,12.5,11.25
 SPR  16  -  H9.png ,6.0,0.0,11.0,23.5,5.25
 SPR  16  -  H10.png ,6.0,2.0,1.0,9.5,2.0
 SPR  16  -  H11.png ,4.5,0.5,4.0,10.625,3.0
 SPR  16  -  H12.png ,5.5,0.0,3.0,7.375,9.25
 SPR  16  -  H13.png ,6.0,0.0,3.0,7.5,19.0
 SPR  16  -  H14.png ,0.0,4.5,3.0,19.5,10.5
 SPR  16  -  H15.png ,4.0,1.5,3.5,12.5,41.75
 SPR  16  -  H16.png ,0.0,9.0,0.0,27.0,10.75
 SPR  16  -  H17.png ,7.0,1.0,0.0,4.75,0.5
 SPR  16  -  H18.png ,1.0,3.5,5.0,20.75,16.0
