filename,EST_CCA,EST_CCP,EST_OCA+OCAG,EST_DRI,GT_DRI
 SPR11  -  H6.png ,2.0,4.0,2.5,17.5,0.25
 SPR11  -  H7.png ,3.0,1.0,6.5,16.75,0.5
 SPR11  -  H8.png ,10.5,0.0,1.5,5.625,0.0
 SPR11  -  H9.png ,8.0,1.0,0.0,5.0,0.5
 SPR11  -  H10.png ,2.0,0.0,7.0,14.5,8.5
 SPR11  -  H11.png ,7.5,0.0,3.5,8.875,8.0
 SPR11  -  H12.png ,6.0,2.0,1.0,9.5,0.25
 SPR11  -  H13.png ,2.5,1.0,3.5,10.625,2.0
 SPR11  -  H14.png ,1.5,4.0,1.0,14.375,2.0
 SPR11  -  H15.png ,5.5,3.0,1.5,13.375,0.25
 SPR11  -  H16.png ,4.0,5.5,3.5,24.5,0.0
 SPR11  -  H17.png ,2.0,0.0,5.5,11.5,6.0
 SPR11  -  H18.png ,0.0,0.0,2.5,5.0,2.5
 SPR11  -  H19.png ,7.0,0.0,11.5,24.75,0.0
 SPR11  -  I1.png ,6.5,0.0,10.0,21.625,0.0
 SPR11  -  I2.png ,4.5,0.0,24.0,49.125,1.25
 SPR11  -  I3.png ,7.5,2.5,4.0,17.375,10.25
 SPR11  -  I4.png ,2.0,3.5,2.5,16.0,2.25
 SPR11  -  I5.png ,4.5,2.0,4.0,15.125,17.5
 SPR11  -  I6.png ,8.0,1.0,3.5,12.0,2.75
 SPR11  -  I7.png ,5.0,2.0,4.5,16.25,2.25
 SPR11  -  I8.png ,4.0,0.0,2.0,5.0,2.0
 SPR11  -  I9.png ,6.0,3.5,1.0,14.0,0.0
 SPR11  -  I10.png ,6.0,1.5,3.5,13.0,0.75
 SPR11  -  I11.png ,15.5,0.0,4.0,11.875,0.25
 SPR11  -  I12.png ,3.0,2.5,4.0,16.25,8.0
 SPR11  -  I13.png ,2.5,3.5,2.5,16.125,13.0
 SPR11  -  I14.png ,11.5,3.0,0.0,11.875,0.5
 SPR11  -  I15.png ,3.5,0.5,5.0,12.375,6.0
 SPR11  -  I16.png ,5.0,2.0,3.5,14.25,4.0
 SPR11  -  I17.png ,5.5,2.0,3.5,14.375,0.5
 SPR11  -  I18.png ,2.5,3.5,4.0,19.125,11.25
 SPR11  -  I19.png ,3.5,1.5,6.0,17.375,11.0
